Name,Team,POS,Salary
Christopher Conte,TB,SS,"$3,000,000"
Kevin Huber,CIN,P,"$3,000,000"
Quinton Dunbar,WAS,CB,"$3,000,000"
Johnny Hekker,LAR,P,"$3,000,000"
Timmy Jernigan,PHI,DT,"$3,000,000"
Mike Wallace,PHI,WR,"$3,000,000"
Willie Snead,BAL,WR,"$3,000,000"
Jared Goff,LAR,QB,"$2,989,788"
Matt Paradis,DEN,C,"$2,981,901"
Leonard Williams,NYJ,DE,"$2,975,572"
Shaquil Barrett,DEN,OLB,"$2,973,016"
Colt McCoy,WAS,QB,"$2,956,860"
Justin Tucker,BAL,K,"$2,950,000"
Ali Marpet,TB,G,"$2,949,581"
Haloti Ngata,PHI,DT,"$2,925,000"
Akeem Spence,MIA,DT,"$2,925,000"
Justin Coleman,SEA,CB,"$2,914,000"
Ben Garland,ATL,G,"$2,914,000"
Tyrell Williams,LAC,WR,"$2,914,000"
Adam Humphries,TB,WR,"$2,914,000"
Nick Easton,MIN,C,"$2,914,000"
Ty Nsekhe,WAS,LT,"$2,914,000"
Brett Jones,MIN,C,"$2,914,000"
Quincy Enunwa,NYJ,WR,"$2,914,000"
Corey Grant,JAC,RB,"$2,914,000"
Breeland Speaks,KC,LB,"$2,893,044"
Terrance Williams,DAL,WR,"$2,882,352"
Carson Wentz,PHI,QB,"$2,875,122"
Corey Linsley,GB,C,"$2,850,000"
Christian Kirk,ARI,WR,"$2,847,176"
Lane Taylor,GB,G,"$2,818,750"
Joey Bosa,LAC,DE,"$2,802,153"
Kevin Pierre-Louis,NYJ,OLB,"$2,786,764"
Nate Ebner,NE,FS,"$2,775,000"
Jaron Brown,SEA,WR,"$2,750,000"
Vincent Rey,CIN,ILB,"$2,750,000"
Roosevelt Nix,PIT,FB,"$2,750,000"
Sam Koch,BAL,P,"$2,750,000"
Stefen Wisniewski,PHI,G,"$2,750,000"
Uchenna Nwosu,LAC,LB,"$2,748,783"
Damien Williams,KC,RB,"$2,740,000"
Michael Palardy,CAR,P,"$2,730,000"
Ezekiel Elliott,DAL,RB,"$2,718,758"
Garry Gilliam,SF,RT,"$2,700,000"
Kevin White,CHI,WR,"$2,693,597"
Ryan Griffin,HOU,TE,"$2,687,500"
Ramon Foster,PIT,G,"$2,675,000"
Dallas Goedert,PHI,TE,"$2,650,379"
Seantrel Henderson,HOU,RT,"$2,593,750"
Shamar Stephen,SEA,DT,"$2,581,250"
Jalen Ramsey,JAC,CB,"$2,572,818"
Russell Bodine,BUF,C,"$2,556,244"
Connor Williams,DAL,G,"$2,551,992"
Britton Colquitt,CLE,P,"$2,550,000"
Matthew Slater,NE,WR,"$2,525,000"
Jack Crawford,ATL,DT,"$2,525,000"
Kyle Van Noy,NE,ILB,"$2,500,000"
Blaine Gabbert,TEN,QB,"$2,500,000"
Rhett Ellison,NYG,TE,"$2,500,000"
Al Woods,IND,DT,"$2,500,000"
Cody Latimer,NYG,WR,"$2,500,000"
Ryan Groy,BUF,G,"$2,500,000"
Antonio Gates,LAC,TE,"$2,500,000"
Michael Schofield,LAC,G,"$2,500,000"
Luke Willson,DET,TE,"$2,500,000"
Manti Te'o,NO,ILB,"$2,500,000"
Captain Munnerlyn,CAR,CB,"$2,500,000"
Tre Boston,ARI,FS,"$2,475,000"
Margus Hunt,IND,DE,"$2,468,750"
Anthony Miller,CHI,WR,"$2,453,600"
Da'Norris Searcy,CAR,SS,"$2,450,000"
Cameron Fleming,DAL,T,"$2,437,500"
Sam Martin,DET,P,"$2,425,000"
Reggie Nelson,OAK,FS,"$2,421,875"
Vic Beasley,ATL,DE,"$2,411,622"
Julian Edelman,NE,WR,"$2,404,412"
Dustin Hopkins,WAS,K,"$2,400,000"
Benjamin Ijalana,NYJ,RT,"$2,400,000"
Kemoko Turay,IND,DE,"$2,355,201"
Brandon LaFell,OAK,WR,"$2,312,500"
Ronnie Stanley,BAL,LT,"$2,312,212"
Matt Prater,DET,K,"$2,300,000"
