Name,Team,POS,Salary
Mohamed Sanu,NE,WR,"$3,779,411"
Devonta Freeman,ATL,RB,"$3,771,114"
William Gholston,TB,DE,"$3,750,000"
Daniel Sorensen,KC,SS,"$3,750,000"
Michael Schofield,LAC,G,"$3,750,000"
Jerick McKinnon,SF,RB,"$3,750,000"
Antoine Bethea,NYG,FS,"$3,750,000"
Jakeem Grant,MIA,WR,"$3,720,000"
James White,NE,RB,"$3,718,750"
Dalton Risner,DEN,G,"$3,709,388"
Lorenzo Alexander,BUF,OLB,"$3,700,000"
Stephen Gostkowski,NE,K,"$3,687,500"
Lane Taylor,GB,G,"$3,679,057"
Drew Lock,DEN,QB,"$3,613,776"
Mason Crosby,GB,K,"$3,600,000"
Tevin Coleman,SF,RB,"$3,568,750"
Ricardo Allen,ATL,SS,"$3,566,490"
Ed Dickson,SEA,TE,"$3,550,000"
Demetrius Harris,CLE,TE,"$3,547,813"
Romeo Okwara,DET,DE,"$3,542,180"
Jahlani Tavai,DET,LB,"$3,528,796"
Lee Smith,BUF,TE,"$3,528,124"
Leonard Williams,NYG,DE,"$3,517,647"
Jordan Poyer,BUF,FS,"$3,516,207"
James Hurst,BAL,RT,"$3,512,210"
Clay Matthews Jr.,LAR,OLB,"$3,500,000"
Brian Poole,NYJ,CB,"$3,500,000"
Case Keenum,WAS,QB,"$3,500,000"
Duron Harmon,NE,SS,"$3,500,000"
Lawrence Guy,NE,DT,"$3,500,000"
Jaquiski Tartt,SF,SS,"$3,475,000"
Elgton Jenkins,GB,G,"$3,447,812"
Bradley McDougald,SEA,SS,"$3,368,750"
Greedy Williams,CLE,CB,"$3,345,800"
Joejuan Williams,NE,CB,"$3,334,384"
HaHa Clinton-Dix,CHI,FS,"$3,325,271"
Darren Waller,OAK,TE,"$3,320,004"
Greg Olsen,CAR,TE,"$3,300,363"
Marquise Goodwin,SF,WR,"$3,281,250"
Johnny Hekker,LAR,P,"$3,250,000"
Ereck Flowers,WAS,G,"$3,250,000"
Tahir Whitehead,OAK,OLB,"$3,250,000"
Jarrod Wilson,JAC,FS,"$3,250,000"
