Year,Name,POS,Salary,Team Abbv.,Team Name,Division
2016,Brian Robison,DE,"$4,282,589 ",MIN,Minnesota Vikings,NFC North
2016,Captain Munnerlyn,CB,"$4,276,575 ",MIN,Minnesota Vikings,NFC North
2016,Isa Abdul-Quddus,FS,"$4,250,000 ",MIA,Miami Dolphins,AFC East
2016,Clint Boling,G,"$4,250,000 ",CIN,Cincinnati Bengals,AFC North
2016,Barry Church,SS,"$4,250,000 ",DAL,Dallas Cowboys,NFC East
2016,Demar Dotson,RT,"$4,250,000 ",TB,Tampa Bay Buccaneers,NFC South
2016,DeAngelo Hall,CB,"$4,250,000 ",WAS,Washington Commanders,NFC East
2016,Adrian Clayborn,DE,"$4,250,000 ",ATL,Atlanta Falcons,NFC South
2016,D'Qwell Jackson,ILB,"$4,205,882 ",IND,Indianapolis Colts,AFC South
2016,Demario Davis,ILB,"$4,200,000 ",CLE,Cleveland Browns,AFC North
2016,Rey Maualuga,ILB,"$4,068,750 ",CIN,Cincinnati Bengals,AFC North
2016,David Amerson,CB,"$4,050,000 ",OAK,Oakland Raiders,AFC West
2016,Andrew Sendejo,SS,"$4,047,008 ",MIN,Minnesota Vikings,NFC North
2016,Julian Edelman,WR,"$4,028,635 ",NE,New England Patriots,AFC East
2016,Evan Mathis,G,"$4,006,900 ",ARI,Arizona Cardinals,NFC West
2016,Jason Kelce,C,"$4,000,000 ",PHI,Philadelphia Eagles,NFC East
2016,Darren Sproles,RB,"$4,000,000 ",PHI,Philadelphia Eagles,NFC East
2016,Brandon Graham,DE,"$4,000,000 ",PHI,Philadelphia Eagles,NFC East
2016,Brent Celek,TE,"$4,000,000 ",PHI,Philadelphia Eagles,NFC East
2016,Tyvon Branch,SS,"$4,000,000 ",ARI,Arizona Cardinals,NFC West
2016,Kendall Langford,DE,"$4,000,000 ",IND,Indianapolis Colts,AFC South
2016,Erik Walden,OLB,"$4,000,000 ",IND,Indianapolis Colts,AFC South
2016,Frank Gore,RB,"$4,000,000 ",IND,Indianapolis Colts,AFC South
2016,Marcedes Lewis,TE,"$4,000,000 ",JAC,Jacksonville Jaguars,AFC South
2016,Vince Wilfork,DT,"$4,000,000 ",HOU,Houston Texans,AFC South
2016,Bryan Bulaga,RT,"$4,000,000 ",GB,Green Bay Packers,NFC North
2016,Steve McLendon,DT,"$4,000,000 ",NYJ,New York Jets,AFC East
2016,Aldon Smith,OLB,"$4,000,000 ",OAK,Oakland Raiders,AFC West
2016,Marcus Gilbert,RT,"$4,000,000 ",PIT,Pittsburgh Steelers,AFC North
2016,Doug Free,RT,"$4,000,000 ",DAL,Dallas Cowboys,NFC East
