Year,Player Name,POS,Salary,Team Abbv.,Team Full Name,Divison
2022,Bilal Nichols ,DE,"$5,500,000 ",LV,Los Angeles Rams,AFC West
2022,Justin Pugh ,G,"$5,500,000 ",ARI,Arizona Cardinals,NFC West
2022,Matt Feiler ,RT,"$5,500,000 ",LAC,Los Angeles Chargers,AFC West
2022,Austin Ekeler ,RB,"$5,500,000 ",LAC,Los Angeles Chargers,AFC West
2022,Jayron Kearse ,S,"$5,500,000 ",DAL,Dallas Cowboys,NFC East
2022,Derek Barnett ,DE,"$5,500,000 ",PHI,Philadelphia Eagles,NFC East
2022,Julio Jones ,WR,"$5,485,294 ",TB,Tampa Bay Buccaneers,NFC South
2022,Jalen Mills ,CB,"$5,441,176 ",NE,New England Patriots,AFC East
2022,Sheldon Rankins ,DT,"$5,441,168 ",NYJ,New York Jets,AFC East
2022,Tim Settle ,DT,"$5,375,000 ",BUF,Buffalo Bills,AFC East
2022,Al Woods ,DT,"$5,210,000 ",SEA,Pittsburgh Steelers,NFC West
2022,Nick Bosa ,DE,"$5,200,225 ",SF,San Francisco 49ers,NFC West
2022,Sam Hubbard ,DE,"$5,183,000 ",CIN,Cincinnati Bengals,AFC North
2022,Quinnen Williams ,DE,"$5,130,823 ",NYJ,New York Jets,AFC East
2022,Brian Allen ,C,"$5,000,000 ",LAR,Los Angeles Rams,NFC West
2022,Kendrick Bourne ,WR,"$5,000,000 ",NE,New England Patriots,AFC East
2022,Jerry Hughes ,DE,"$5,000,000 ",HOU,Houston Texans,AFC South
2022,Jordan Phillips ,DE,"$5,000,000 ",BUF,Buffalo Bills,AFC East
2022,Ryan Bates ,G,"$5,000,000 ",BUF,Buffalo Bills,AFC East
2022,Jake Martin ,OLB,"$5,000,000 ",NYJ,New York Jets,AFC East
2022,Anthony Brown ,CB,"$5,000,000 ",DAL,Dallas Cowboys,NFC East
2022,Dalvin Tomlinson ,DT,"$5,000,000 ",MIN,Minnesota Vikings,NFC North
2022,Jordan Hicks ,ILB,"$5,000,000 ",MIN,Minnesota Vikings,NFC North
2022,Frankie Luvu ,LB,"$4,985,294 ",CAR,Carolina Panthers,NFC South
2022,Deatrich Wise ,DE,"$4,941,168 ",NE,New England Patriots,AFC East
2022,Baker Mayfield ,QB,"$4,858,000 ",CAR,Carolina Panthers,NFC South
2022,Emmanuel Moseley ,CB,"$4,823,521 ",SF,San Francisco 49ers,NFC West
2022,Wes Schweitzer ,G,"$4,820,000 ",WAS,Washington Commanders,NFC East
2022,Clelin Ferrell ,DE,"$4,771,476 ",LV,Los Angeles Rams,AFC West
2022,Christian Kirksey ,ILB,"$4,764,712 ",HOU,Houston Texans,AFC South
2022,Devin White ,ILB,"$4,692,611 ",TB,Tampa Bay Buccaneers,NFC South
2022,Logan Hall ,DE,"$4,660,604 ",TB,Tampa Bay Buccaneers,NFC South
2022,Jacoby Brissett ,QB,"$4,650,000 ",CLE,Cleveland Browns,AFC North
2022,Justin Britt ,C,"$4,647,067 ",HOU,Houston Texans,AFC South
2022,Christian Watson ,WR,"$4,605,752 ",GB,Green Bay Packers,NFC North
2022,Dawuane Smoot ,DE,"$4,585,294 ",JAC,Jacksonville Jaguars,AFC South
2022,Roger McCreary ,CB,"$4,550,896 ",TEN,Tennessee Titans,AFC South
2022,Eric Rowe ,SS,"$4,550,000 ",MIA,Miami Dolphins,AFC East
2022,Troy Hill ,CB,"$4,500,000 ",LAR,Los Angeles Rams,NFC West
2022,Patrick Ricard ,FB,"$4,500,000 ",BAL,Baltimore Ravens,AFC North
2022,Jake Bailey ,P,"$4,500,000 ",NE,New England Patriots,AFC East
2022,Cameron Sutton ,CB,"$4,500,000 ",PIT,Pittsburgh Steelers,AFC North
2022,Steven Nelson ,CB,"$4,500,000 ",HOU,Houston Texans,AFC South
2022,William Gholston ,DE,"$4,500,000 ",TB,Tampa Bay Buccaneers,NFC South
2022,Breece Hall ,RB,"$4,441,200 ",NYJ,New York Jets,AFC East
2022,Logan Thomas ,TE,"$4,440,000 ",WAS,Washington Commanders,NFC East
2022,Jalen Pitre ,S,"$4,397,320 ",HOU,Houston Texans,AFC South
2022,Jamal Agnew ,WR,"$4,376,470 ",JAC,Jacksonville Jaguars,AFC South
2022,Arnold Ebiketie ,DE,"$4,298,592 ",ATL,Atlanta Falcons,NFC South
2022,Dallas Goedert ,TE,"$4,250,660 ",PHI,Philadelphia Eagles,NFC East
2022,Lawrence Guy ,DT,"$4,250,000 ",NE,New England Patriots,AFC East
2022,Anthony Walker Jr. ,ILB,"$4,250,000 ",CLE,Cleveland Browns,AFC North
2022,Nick Chubb ,RB,"$4,213,059 ",CLE,Cleveland Browns,AFC North
2022,Kyler Gordon ,CB,"$4,199,856 ",CHI,Chicago Bears,NFC North
2022,Daniel Jones ,QB,"$4,194,644 ",NYG,New  York Giants,NFC East
2022,Byron Pringle ,WR,"$4,125,000 ",CHI,Chicago Bears,NFC North
2022,Boye Mafe ,DE,"$4,112,092 ",SEA,Pittsburgh Steelers,NFC West
2022,Lucas Patrick ,G,"$4,100,000 ",CHI,Chicago Bears,NFC North
2022,Mario Addison ,DE,"$4,100,000 ",HOU,Houston Texans,AFC South
2022,Kenneth Walker ,RB,"$4,024,332 ",SEA,Pittsburgh Steelers,NFC West
2022,Cameron Erving ,LT,"$4,010,000 ",CAR,Carolina Panthers,NFC South
2022,Anthony Averett ,CB,"$4,000,000 ",LV,Los Angeles Rams,AFC West
2022,Jason Myers ,K,"$4,000,000 ",SEA,Pittsburgh Steelers,NFC West
2022,Austin Blythe ,G,"$4,000,000 ",SEA,Pittsburgh Steelers,NFC West
2022,Arden Key ,DE,"$4,000,000 ",JAC,Jacksonville Jaguars,AFC South
2022,Al-Quadin Muhammad ,DE,"$4,000,000 ",CHI,Chicago Bears,NFC North
2022,Eric Murray ,FS,"$4,000,000 ",HOU,Houston Texans,AFC South
2022,Kamu Grugier-Hill ,OLB,"$4,000,000 ",HOU,Houston Texans,AFC South
